method,total_calls,ok_calls,throughput_rps,latency_p50_ms,latency_p95_ms,latency_p99_ms,grpc_code_rates_json,job_terminal_unique_jobs,job_terminal_throughput_rps
SubmitJob,720,720,12.0,23.741,37.994,44.769,"{""OK"":1.0}",234,3.9
GetJobStatus,240,240,4.0,17.897,31.928,35.705,"{""OK"":1.0}",234,3.9
GetJobResult,180,180,3.0,20.537,35.903,42.488,"{""OK"":1.0}",234,3.9
CancelJob,60,60,1.0,21.365,36.374,39.814,"{""OK"":1.0}",234,3.9
ListJobs,0,0,0.0,0.0,0.0,0.0,{},234,3.9
