method,total_calls,ok_calls,throughput_rps,latency_p50_ms,latency_p95_ms,latency_p99_ms,grpc_code_rates_json,job_terminal_unique_jobs,job_terminal_throughput_rps
SubmitJob,105,105,1.75,6.987,10.446,12.836,"{""OK"":1.0}",78,1.3
GetJobStatus,90,90,1.5,5.362,8.779,10.188,"{""OK"":1.0}",78,1.3
GetJobResult,75,75,1.25,7.336,10.423,13.439,"{""OK"":1.0}",78,1.3
CancelJob,30,30,0.5,5.364,8.455,8.559,"{""OK"":1.0}",78,1.3
ListJobs,0,0,0.0,0.0,0.0,0.0,{},78,1.3
