design,scenario_id,run_id,method,total_calls,ok_calls,throughput_rps,latency_p50_ms,latency_p95_ms,latency_p99_ms,grpc_non_ok_rate,terminal_jobs,terminal_throughput_rps
A_microservices,design_a_s_high_submit_heavy,design_a_s_high_submit_heavy-r01-b109f59c52,GetJobResult,360,360,6.0,29.454,51.364,58.677,0.0,129,2.15
A_microservices,design_a_s_high_submit_heavy,design_a_s_high_submit_heavy-r01-b109f59c52,CancelJob,120,120,2.0,39.052,58.179,64.971,0.0,129,2.15
A_microservices,design_a_s_high_submit_heavy,design_a_s_high_submit_heavy-r01-b109f59c52,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,129,2.15
A_microservices,design_a_s_high_submit_heavy,design_a_s_high_submit_heavy-r02-6a7a8a24bd,SubmitJob,1440,1440,24.0,39.217,63.577,68.235,0.0,131,2.183333
A_microservices,design_a_s_high_submit_heavy,design_a_s_high_submit_heavy-r02-6a7a8a24bd,GetJobStatus,480,480,8.0,29.097,50.807,54.923,0.0,131,2.183333
A_microservices,design_a_s_high_submit_heavy,design_a_s_high_submit_heavy-r02-6a7a8a24bd,GetJobResult,360,360,6.0,29.366,51.907,58.068,0.0,131,2.183333
A_microservices,design_a_s_high_submit_heavy,design_a_s_high_submit_heavy-r02-6a7a8a24bd,CancelJob,120,120,2.0,36.196,47.893,58.63,0.0,131,2.183333
A_microservices,design_a_s_high_submit_heavy,design_a_s_high_submit_heavy-r02-6a7a8a24bd,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,131,2.183333
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,SubmitJob,105,105,1.75,9.487,14.512,17.395,0.0,84,1.4
A_microservices,design_a_s_low_balanced,design_a_s_low_balanced-r00-f878e8c7a3,GetJobStatus,90,90,1.5,7.619,11.0,15.577,0.0,84,1.4
