method,total_calls,ok_calls,throughput_rps,latency_p50_ms,latency_p95_ms,latency_p99_ms,grpc_code_rates_json,job_terminal_unique_jobs,job_terminal_throughput_rps
SubmitJob,105,105,1.75,7.962,12.737,18.78,"{""OK"":1.0}",92,1.533333
GetJobStatus,90,90,1.5,6.6,10.585,57.05,"{""OK"":1.0}",92,1.533333
GetJobResult,75,75,1.25,8.321,19.994,61.425,"{""OK"":1.0}",92,1.533333
CancelJob,30,30,0.5,6.127,9.674,10.785,"{""OK"":1.0}",92,1.533333
ListJobs,0,0,0.0,0.0,0.0,0.0,{},92,1.533333
