method,total_calls,ok_calls,throughput_rps,latency_p50_ms,latency_p95_ms,latency_p99_ms,grpc_code_rates_json,job_terminal_unique_jobs,job_terminal_throughput_rps
SubmitJob,180,180,3.0,8.682,17.228,22.794,"{""OK"":1.0}",81,1.35
GetJobStatus,60,60,1.0,6.534,10.136,16.452,"{""OK"":1.0}",81,1.35
GetJobResult,45,45,0.75,9.009,16.355,24.847,"{""OK"":1.0}",81,1.35
CancelJob,15,15,0.25,4.79,18.005,18.005,"{""OK"":1.0}",81,1.35
ListJobs,0,0,0.0,0.0,0.0,0.0,{},81,1.35
