method,total_calls,ok_calls,throughput_rps,latency_p50_ms,latency_p95_ms,latency_p99_ms,grpc_code_rates_json,job_terminal_unique_jobs,job_terminal_throughput_rps
SubmitJob,180,180,3.0,18.575,27.632,37.997,"{""OK"":1.0}",60,1.0
GetJobStatus,540,540,9.0,18.234,30.81,38.906,"{""OK"":1.0}",60,1.0
GetJobResult,420,420,7.0,18.153,30.242,35.569,"{""OK"":1.0}",60,1.0
CancelJob,60,60,1.0,25.022,30.215,31.519,"{""OK"":1.0}",60,1.0
ListJobs,0,0,0.0,0.0,0.0,0.0,{},60,1.0
