method,total_calls,ok_calls,throughput_rps,latency_p50_ms,latency_p95_ms,latency_p99_ms,grpc_code_rates_json,job_terminal_unique_jobs,job_terminal_throughput_rps
SubmitJob,45,45,0.75,11.169,23.439,60.802,"{""OK"":1.0}",52,0.866667
GetJobStatus,135,135,2.25,8.453,16.969,50.887,"{""OK"":1.0}",52,0.866667
GetJobResult,105,105,1.75,11.566,18.712,24.304,"{""OK"":1.0}",52,0.866667
CancelJob,15,15,0.25,8.827,16.69,16.69,"{""OK"":1.0}",52,0.866667
ListJobs,0,0,0.0,0.0,0.0,0.0,{},52,0.866667
