method,total_calls,ok_calls,throughput_rps,latency_p50_ms,latency_p95_ms,latency_p99_ms,grpc_code_rates_json,job_terminal_unique_jobs,job_terminal_throughput_rps
SubmitJob,840,840,14.0,22.898,34.697,40.837,"{""OK"":1.0}",708,11.8
GetJobStatus,720,720,12.0,18.945,31.0,36.83,"{""OK"":1.0}",708,11.8
GetJobResult,600,600,10.0,24.71,37.041,41.498,"{""OK"":1.0}",708,11.8
CancelJob,240,240,4.0,19.506,31.608,36.95,"{""OK"":1.0}",708,11.8
ListJobs,0,0,0.0,0.0,0.0,0.0,{},708,11.8
