method,total_calls,ok_calls,throughput_rps,latency_p50_ms,latency_p95_ms,latency_p99_ms,grpc_code_rates_json,job_terminal_unique_jobs,job_terminal_throughput_rps
SubmitJob,360,360,6.0,26.605,40.149,51.877,"{""OK"":1.0}",417,6.95
GetJobStatus,1080,1080,18.0,22.983,36.661,50.703,"{""OK"":1.0}",417,6.95
GetJobResult,840,840,14.0,28.594,41.004,52.17,"{""OK"":1.0}",417,6.95
CancelJob,120,120,2.0,22.49,36.287,44.05,"{""OK"":1.0}",417,6.95
ListJobs,0,0,0.0,0.0,0.0,0.0,{},417,6.95
