method,total_calls,ok_calls,throughput_rps,latency_p50_ms,latency_p95_ms,latency_p99_ms,grpc_code_rates_json,job_terminal_unique_jobs,job_terminal_throughput_rps
SubmitJob,105,105,1.75,8.762,14.388,16.221,"{""OK"":1.0}",82,1.366667
GetJobStatus,90,90,1.5,6.577,12.416,17.997,"{""OK"":1.0}",82,1.366667
GetJobResult,75,75,1.25,9.089,15.135,25.955,"{""OK"":1.0}",82,1.366667
CancelJob,30,30,0.5,7.141,12.843,19.815,"{""OK"":1.0}",82,1.366667
ListJobs,0,0,0.0,0.0,0.0,0.0,{},82,1.366667
