method,total_calls,ok_calls,throughput_rps,latency_p50_ms,latency_p95_ms,latency_p99_ms,grpc_code_rates_json,job_terminal_unique_jobs,job_terminal_throughput_rps
SubmitJob,840,840,14.0,35.508,56.937,64.071,"{""OK"":1.0}",227,3.783333
GetJobStatus,720,720,12.0,32.142,54.123,63.675,"{""OK"":1.0}",227,3.783333
GetJobResult,600,600,10.0,30.052,53.237,63.602,"{""OK"":1.0}",227,3.783333
CancelJob,240,240,4.0,33.006,54.061,65.069,"{""OK"":1.0}",227,3.783333
ListJobs,0,0,0.0,0.0,0.0,0.0,{},227,3.783333
