method,total_calls,ok_calls,throughput_rps,latency_p50_ms,latency_p95_ms,latency_p99_ms,grpc_code_rates_json,job_terminal_unique_jobs,job_terminal_throughput_rps
SubmitJob,840,840,14.0,25.989,36.068,41.692,"{""OK"":1.0}",685,11.416667
GetJobStatus,720,720,12.0,22.659,32.98,39.852,"{""OK"":1.0}",685,11.416667
GetJobResult,600,600,10.0,28.118,38.153,42.863,"{""OK"":1.0}",685,11.416667
CancelJob,240,240,4.0,22.642,33.043,36.709,"{""OK"":1.0}",685,11.416667
ListJobs,0,0,0.0,0.0,0.0,0.0,{},685,11.416667
